ID,term,country,actRating,affRating,emoRating,negRating,concern,EPI,CRI,GDP
4,emergency,TUR,0.370857042,0.526770456,1.314657995,-1.499242204,0.808209155,-0.960116652,0.258689506,-0.119949442
4,change,USA,0.733370408,0.782659015,1.314657995,-1.499242204,0.05654412,0.820222853,-1.472593036,6.755012709
5,crisis,AUS,0.098972018,-0.304867362,-0.314592125,1.542036318,-0.049640973,1.193627393,-0.669520704,0.098635009
5,warming,BEL,-1.834432596,-1.904170859,-1.943842245,-1.499242204,-0.468577632,1.086940381,0.341906195,-0.209474688
5,crisis,COL,0.008343677,-0.304867362,-0.314592125,-0.708509789,1.394243857,-0.273319015,-0.309749305,-0.275838696
5,warming,ESP,-1.834432596,-1.904170859,-1.943842245,-1.499242204,0.023390204,1.153619764,-0.726771283,0.078261805
5,warming,EST,-1.834432596,-1.904170859,-1.943842245,-1.499242204,-1.503047163,0.553505324,0.613142545,-0.377656854
5,crisis,GBR,1.186512114,-0.304867362,-0.314592125,1.542036318,-0.507852338,1.620375439,0.091630439,0.725172156
5,crisis,GER,1.186512114,-0.304867362,-0.314592125,1.542036318,-1.44420561,1.346989972,-1.785437731,0.911242701
5,emergency,GTM,-1.834432596,-1.904170859,-1.943842245,-1.499242204,0.743315664,-1.680253979,0.201126082,-0.361815751
5,warming,GTM,1.186512114,-0.304867362,-0.314592125,1.542036318,0.743315664,-1.680253979,0.201126082,-0.361815751
5,change,IRL,-1.834432596,-1.904170859,-1.943842245,-1.499242204,-1.090264869,1.05360069,0.175159972,-0.266188946
5,emergency,ISL,-1.834432596,-1.904170859,-1.943842245,-1.499242204,-0.773651603,1.020260999,1.692456743,-0.381036561
5,warming,ISR,-1.834432596,-0.304867362,-0.314592125,0.842542258,-0.783304043,0.586845015,0.581858076,-0.262778989
5,emergency,KOR,-1.834432596,-1.904170859,-1.943842245,-1.499242204,0.32782907,0.633520583,0.175159972,0.188941346
5,crisis,MDA,1.186512114,-0.304867362,-0.314592125,1.542036318,0.739061189,-0.840093764,1.692456743,-0.384939271
5,crisis,MEX,-0.323960241,-0.304867362,-0.314592125,-1.499242204,1.193983251,-0.29332283,-1.039615978,0.050959681
5,crisis,NZL,1.186512114,0.654714736,0.662957947,1.542036318,,0.953581617,-0.554706701,-0.319563066
5,emergency,PER,-1.834432596,-1.904170859,-1.943842245,-1.499242204,1.168769745,-0.866765517,0.722638189,-0.316564874
5,change,PHL,-1.834432596,-1.904170859,-1.943842245,-1.499242204,0.589884239,-1.240170057,-1.86865442,-0.250195059
5,crisis,TUR,-1.834432596,-1.904170859,-1.943842245,-1.499242204,0.808209155,-0.960116652,0.258689506,-0.119949442
5,emergency,VNM,-1.411500337,0.014993337,0.337107923,-1.499242204,-0.843373079,-1.573566968,-1.399387378,-0.287062435
6,change,BGR,0.975045984,0.782659015,0.858467962,0.994606184,,6.64518075019065e-05,0.941629475,-0.367039787
6,crisis,BLR,0.340647595,0.270881897,0.369692926,0.416763265,-0.800369319,-0.266651077,1.28044028,-0.363645785
6,change,FIN,0.461485384,0.878617225,0.271937918,1.450797962,-0.863448856,1.460344922,1.692456743,-0.297810268
6,warming,FIN,0.733370408,0.878617225,1.021392974,0.781716687,-0.863448856,1.460344922,1.692456743,-0.297810268
6,emergency,HKG,0.854208196,0.750672946,0.825882959,0.964193399,,,,-0.266654959
6,emergency,IMN,0.552113725,0.942589365,0.858467962,1.055431754,,,,
6,emergency,ISR,0.823998749,0.974575435,0.923637967,0.872955043,-0.783304043,0.586845015,0.581858076,-0.262778989
6,change,LBN,0.733370408,1.166491855,0.760712955,0.751303902,0.236086253,-0.773414382,-0.116724128,-0.375487299
6,change,LUX,1.186512114,1.294436134,1.314657995,1.542036318,-0.66433992,1.687054821,0.420117368,-0.362937576
6,change,MEX,0.612532619,0.782659015,0.988807971,1.025018969,1.193983251,-0.29332283,-1.039615978,0.050959681
6,crisis,MEX,0.823998749,0.462798316,0.630372945,1.116257325,1.193983251,-0.29332283,-1.039615978,0.050959681
6,change,PAK,0.733370408,0.782659015,0.532617938,1.207495681,-0.843154663,-1.593570782,0.529613012,
6,warming,PHL,0.733370408,1.070533645,0.858467962,1.14667011,0.589884239,-1.240170057,-1.86865442,-0.250195059
6,emergency,SVN,0.854208196,0.302867966,0.923637967,1.207495681,,1.000257185,-0.408921073,-0.370433981
6,warming,TUR,0.854208196,0.974575435,0.760712955,0.933780614,0.808209155,-0.960116652,0.258689506,-0.119949442
6,crisis,TWN,0.823998749,0.846631155,0.760712955,0.781716687,,0.013402328,0.044703734,-0.165024942
6,emergency,UKR,0.884417643,0.878617225,1.086562979,0.842542258,-1.446934447,-0.500028915,1.077091228,-0.339387612
6,crisis,URY,0.763579855,0.654714736,0.369692926,0.964193399,1.091581604,-0.526700667,-1.102184917,-0.367509373
6,change,USA,0.823998749,0.750672946,0.760712955,1.298734036,0.05654412,0.820222853,-1.472593036,6.755012709
6,crisis,VNM,0.672951513,1.294436134,0.988807971,0.994606184,-0.843373079,-1.573566968,-1.399387378,-0.287062435
7,warming,BLR,0.642742066,0.814645085,0.69554295,-0.678097003,-0.800369319,-0.266651077,1.28044028,-0.363645785
7,change,CHL,0.854208196,-1.26444946,0.56520294,0.933780614,1.364871105,-0.113288498,0.321258445,-0.291452218
7,change,CRI,0.370857042,0.942589365,1.086562979,1.08584454,1.379747635,-0.299990768,0.430754088,-0.36724133
7,emergency,FIN,0.582323172,0.974575435,0.988807971,0.964193399,-0.863448856,1.460344922,1.692456743,-0.297810268
7,change,GRC,0.854208196,1.294436134,0.206767914,1.237908466,1.350191123,0.806886976,-1.477598551,-0.317617774
7,crisis,HKG,-0.897939736,-1.48835195,0.532617938,-0.678097003,,,,-0.266654959
7,crisis,KAZ,0.370857042,1.262450064,0.956222969,1.14667011,-2.031208801,-0.820089949,0.863418301,-0.316154577
7,emergency,KOR,0.70316096,-1.52033802,0.369692926,1.542036318,0.32782907,0.633520583,0.175159972,0.188941346
7,emergency,LBN,0.854208196,0.494784386,0.956222969,1.298734036,0.236086253,-0.773414382,-0.116724128,-0.375487299
7,change,MDA,1.095883773,1.102519715,1.216902988,1.359559607,0.739061189,-0.840093764,1.692456743,-0.384939271
7,emergency,NZL,-1.200034207,0.654714736,-1.226972192,0.872955043,,0.953581617,-0.554706701,-0.319563066
7,crisis,PER,1.186512114,0.814645085,1.216902988,1.237908466,1.168769745,-0.866765517,0.722638189,-0.316564874
7,crisis,RUS,1.035464879,1.038547575,0.988807971,1.268321251,-1.195977738,-0.433349532,0.143875503,0.135414378
7,crisis,SAU,1.065674326,1.006561505,0.988807971,1.08584454,0.205044599,-0.866765517,0.550573606,-0.12546488
7,change,SLV,0.823998749,0.846631155,1.119147981,-1.286352708,1.236099034,-0.926776961,-0.831261411,-0.378761192
7,emergency,SLV,1.005255431,-1.23246339,0.728127952,0.964193399,1.236099034,-0.926776961,-0.831261411,-0.378761192
7,emergency,SVN,-1.471919231,0.974575435,-1.617992221,1.177082895,,1.000257185,-0.408921073,-0.370433981
7,change,UKR,0.793789302,0.878617225,0.956222969,1.542036318,-1.446934447,-0.500028915,1.077091228,-0.339387612
7,emergency,VNM,0.70316096,1.006561505,1.119147981,1.389972392,-0.843373079,-1.573566968,-1.399387378,-0.287062435
7,crisis,ZAF,0.280228701,-0.976574831,-1.129217185,-1.134288782,-1.416845125,-0.926776961,-0.549701186,-0.262005748
8,change,BEL,0.129181465,0.238895827,0.141597909,-0.343556366,-0.468577632,1.086940381,0.341906195,-0.209474688
8,crisis,BEL,-0.565635818,0.398826176,0.174182911,-0.404381936,-0.468577632,1.086940381,0.341906195,-0.209474688
8,crisis,BGR,0.18960036,0.334854036,0.011257899,-0.373969151,,6.64518075019065e-05,0.941629475,-0.367039787
8,crisis,BRA,0.038553124,-0.688700201,0.174182911,0.295112124,1.34002599,-0.386673965,0.373190664,0.206587529
8,emergency,CAN,0.068762571,-0.688700201,-0.151667113,0.812129473,0.037794764,0.933577802,-1.535161975,0.237129786
8,change,ESP,-0.02186577,0.206909757,0.109012906,-0.221905225,0.023390204,1.153619764,-0.726771283,0.078261805
8,crisis,EST,0.098972018,0.078965477,0.56520294,-0.343556366,-1.503047163,0.553505324,0.613142545,-0.377656854
8,emergency,EST,-0.777101948,0.142937617,-0.510102139,0.568827191,-1.503047163,0.553505324,0.613142545,-0.377656854
8,emergency,FIN,0.008343677,-0.688700201,0.043842902,0.295112124,-0.863448856,1.460344922,1.692456743,-0.297810268
8,warming,GRC,-0.052075217,0.174923687,0.174182911,-0.221905225,1.350191123,0.806886976,-1.477598551,-0.317617774
8,crisis,IND,-0.7468925,-0.848630551,-0.705612154,-1.195114352,0.302603544,-1.960307384,-1.649663134,0.608565667
8,emergency,IND,-0.626054712,0.334854036,0.206767914,-0.434794722,0.302603544,-1.960307384,-1.649663134,0.608565667
8,warming,IND,,0.366840106,0.500032935,1.055431754,0.302603544,-1.960307384,-1.649663134,0.608565667
8,change,IRL,-0.052075217,-0.432811642,-0.770782158,0.44717605,-1.090264869,1.05360069,0.175159972,-0.266188946
8,change,ISL,,-0.784658411,-0.835952163,-1.043050426,-0.773651603,1.020260999,1.692456743,-0.381036561
8,crisis,LBN,0.008343677,-0.560755922,0.141597909,0.355937694,0.236086253,-0.773414382,-0.116724128,-0.375487299
8,warming,LBN,-0.716683053,0.078965477,-0.705612154,0.538414406,0.236086253,-0.773414382,-0.116724128,-0.375487299
8,emergency,UAE,0.310438148,-0.624728062,-0.607857146,0.50800162,,-0.093284683,1.692456743,-0.250597315
8,emergency,URY,0.098972018,-0.912602691,-0.705612154,0.50800162,1.091581604,-0.526700667,-1.102184917,-0.367509373
8,change,VNM,-0.142703558,0.174923687,-0.933707171,0.264699339,-0.843373079,-1.573566968,-1.399387378,-0.287062435
9,change,AZR,0.129181465,0.046979407,-0.24942212,0.386350479,,-0.700067061,1.692456743,-0.365640346
9,change,BGR,0.219809807,0.270881897,-0.640442149,0.325524909,,6.64518075019065e-05,0.941629475,-0.367039787
9,crisis,COL,0.401066489,0.430812246,-0.607857146,0.477588835,1.394243857,-0.273319015,-0.309749305,-0.275838696
9,warming,COL,0.098972018,0.206909757,-0.021327103,0.477588835,1.394243857,-0.273319015,-0.309749305,-0.275838696
9,change,CRI,-0.535426371,-0.976574831,-1.031462178,-0.860573715,1.379747635,-0.299990768,0.430754088,-0.36724133
9,change,ESP,0.219809807,0.174923687,0.043842902,0.477588835,0.023390204,1.153619764,-0.726771283,0.078261805
9,emergency,FIN,-1.38129089,-1.6482823,-1.943842245,-1.195114352,-0.863448856,1.460344922,1.692456743,-0.297810268
9,emergency,GTM,0.008343677,0.174923687,-0.673027151,0.477588835,0.743315664,-1.680253979,0.201126082,-0.361815751
9,emergency,IMN,,0.046979407,-0.835952163,0.416763265,,,,
9,warming,ITA,0.219809807,0.206909757,-0.542687142,0.325524909,1.011714885,0.933577802,-1.164753856,0.288079071
9,change,JPN,0.219809807,-0.016992733,-0.868537166,0.264699339,-0.376551164,1.206963269,-2.046037362,1.160802491
9,warming,JPN,-1.16982476,-1.008560901,-0.933707171,-0.465207507,-0.376551164,1.206963269,-2.046037362,1.160802491
9,change,KAZ,-0.02186577,0.174923687,-1.389897204,0.355937694,-2.031208801,-0.820089949,0.863418301,-0.316154577
9,change,KOR,-0.656264159,-0.624728062,-0.347177127,-0.161079655,0.32782907,0.633520583,0.175159972,0.188941346
9,crisis,MDA,-0.656264159,-0.528769852,-0.998877175,-0.404381936,0.739061189,-0.840093764,1.692456743,-0.384939271
9,warming,MDA,0.129181465,0.110951547,-0.184252115,0.355937694,0.739061189,-0.840093764,1.692456743,-0.384939271
9,change,MYS,0.098972018,-0.016992733,-0.705612154,-0.221905225,-1.139586902,-0.606715926,0.435759603,-0.244181124
9,change,PAN,0.038553124,0.142937617,-0.510102139,0.325524909,1.250104998,-0.646723555,0.388832899,-0.367509884
9,change,PER,-0.082284664,-0.656714132,-0.966292173,-0.647684218,1.168769745,-0.866765517,0.722638189,-0.316564874
9,warming,SLV,0.250019254,0.110951547,-0.053912106,0.477588835,1.236099034,-0.926776961,-0.831261411,-0.378761192
10,crisis,AZR,0.70316096,0.814645085,0.500032935,1.025018969,,-0.700067061,1.692456743,-0.365640346
