ID,term,country,actRating,emoRating,epi,GDP,perception,CRI
7,crisis,KAZ,0.372174773,0.955793926,0.801351402,-0.300776207,-2.080352124,98.5
7,crisis,PER,1.186072612,1.215734877,0.8483165,-0.301185614,1.153252022,94
7,crisis,RUS,1.03535079,0.988286544,0.41221202,0.14981311,-1.236344394,75.5
7,crisis,SAU,1.065495155,0.988286544,0.8483165,-0.110500194,0.179399984,88.5
7,crisis,ZAF,0.28174168,-1.123733688,0.908700197,-0.246744849,-1.459532671,53.33
7,emergency,FIN,0.583185324,0.988286544,-1.493229091,-0.282471695,-0.900321275,125
7,emergency,KOR,0.703762781,0.370926784,-0.66127593,0.203223956,0.303474683,76.5
7,emergency,LBN,0.854484604,0.955793926,0.754386304,-0.359980212,0.210767826,67.17
7,emergency,NZL,-1.195332177,-1.221211545,-0.983322315,-0.304177302,NA,53.17
7,emergency,SLV,1.005206426,0.728345593,0.908700197,-0.363247003,1.221288812,44.33
7,emergency,SVN,-1.466631457,-1.611122973,-1.030287412,-0.354937857,NA,57.83
7,emergency,VNM,0.703762781,1.11825702,1.559502266,-0.271747177,-0.880034541,26.17
7,warming,BLR,0.643474053,0.695852974,0.244479528,-0.348164387,-0.836578894,111.83
8,change,BEL,0.131019857,0.143478451,-1.117508308,-0.19432775,-0.501300717,81.83
8,change,ESP,-0.019701965,0.110985832,-1.184601305,0.092784524,-0.004163248,47.67
8,change,IRL,-0.049846329,-0.76631488,-1.08396181,-0.250918972,-1.129520686,76.5
8,change,ISL,NA,-0.831300118,-1.050415312,-0.365517435,-0.809580427,125
8,change,VNM,-0.140279422,-0.928777975,1.559502266,-0.271747177,-0.880034541,26.17
8,crisis,BEL,-0.562300524,0.17597107,-1.117508308,-0.19432775,-0.501300717,81.83
8,crisis,BGR,0.191308586,0.013507975,-0.02389246,-0.351551026,NA,101
8,crisis,BRA,0.040586764,0.17597107,0.365246922,0.220831858,1.326307839,82.83
8,crisis,EST,0.100875493,0.565882498,-0.580764334,-0.362145061,-1.546640526,90.5
8,crisis,IND,-0.743166711,-0.701329642,1.948641648,0.621937941,0.277984085,18.17
8,crisis,LBN,0.0104424,0.143478451,0.754386304,-0.359980212,0.210767826,67.17
8,emergency,CAN,0.070731129,-0.148955119,-0.963194416,0.251307856,0.010392676,21.83
8,emergency,EST,-0.773311075,-0.506373928,-0.580764334,-0.362145061,-1.546640526,90.5
8,emergency,FIN,0.0104424,0.046000594,-1.493229091,-0.282471695,-0.900321275,125
8,emergency,IND,-0.622589253,0.208463689,1.948641648,0.621937941,0.277984085,18.17
8,emergency,UAE,0.311886044,-0.603851785,0.070037736,-0.235361166,NA,125
